     shots,    errors,  discards, seconds,decoder,strong_id,json_metadata
   6842174,      1053,         0,    19.8,internal_correlated,21c67d895b61ef49e6ca3afc4a253aae505b33e2d1b2212836b7d71235835025,"{""b"":""X"",""d"":3,""noise"":""SI1000"",""p"":0.0001,""q"":17,""r"":12,""style"":""3-CZ""}"
   6631200,      1139,         0,    8.94,internal_correlated,cbed666f313d3712aa723d3d7687285dabf09fc12113ed7cc97bef0f2f7f9958,"{""b"":""X"",""d"":3,""noise"":""SI1000"",""p"":0.0001,""q"":17,""r"":12,""style"":""3-CZ-wiggle""}"
   9898517,      1000,         0,    24.3,internal_correlated,f8e33065d060935fba46ec5b91fbb4c116a511fb1ad951fc5ecb8afea79c0bc3,"{""b"":""X"",""d"":3,""noise"":""SI1000"",""p"":0.0001,""q"":17,""r"":12,""style"":""3-CZ_MZZ""}"
   3993942,      1091,         0,    12.5,internal_correlated,6b6d4ac85726bc0a86b4c5efd538da322d4c2fb058280e558ee0a2ba7fe723be,"{""b"":""X"",""d"":3,""noise"":""SI1000"",""p"":0.0001,""q"":17,""r"":12,""style"":""4-CZ""}"
   6680368,      1042,         0,    19.3,internal_correlated,4ca627cb4a9df5899163aab2a18fef045ff5c95d5d69dc38317e07837c50c3f7,"{""b"":""X"",""d"":3,""noise"":""SI1000"",""p"":0.0001,""q"":21,""r"":12,""style"":""3-ISWAP""}"
   5475837,      1013,         0,    10.5,internal_correlated,1030fe59b0edd77202d08841999aca13a7dfe99119e46859b648bbbe7e6148f2,"{""b"":""X"",""d"":3,""noise"":""SI1000"",""p"":0.0001,""q"":21,""r"":12,""style"":""3-ISWAP-wiggle""}"
   4041107,      1071,         0,    13.3,internal_correlated,7176d7c50596b24ea6ea5685afab84a599ad2de5573cca3c55e6bd9c99402503,"{""b"":""X"",""d"":3,""noise"":""SI1000"",""p"":0.0001,""q"":22,""r"":12,""style"":""GLIDING-CZ""}"
   2031077,      1008,         0,    5.49,internal_correlated,472439775b9bdc15343a1da7d719376f495ef4a85a9f842c10b671dde466f5fb,"{""b"":""X"",""d"":3,""noise"":""SI1000"",""p"":0.0001,""q"":22,""r"":12,""style"":""SLIDING-CZ""}"
   4069005,      1002,         0,    12.4,internal_correlated,2f5d1327bcba19d63651a6ac088cfaaf35e46fb08c86dc48dbe742f6e27cd321,"{""b"":""X"",""d"":3,""noise"":""SI1000"",""p"":0.0001,""q"":22,""r"":12,""style"":""WIGGLING-CZ""}"
   7356839,      1052,         0,    25.9,internal_correlated,08ea0b30509e979aec2b80c627e2c64863b7f06fcd5e044caf7ebfc506d50d14,"{""b"":""X"",""d"":3,""noise"":""SI1000"",""p"":0.0001,""q"":23,""r"":12,""style"":""4-ISWAP""}"
   1806684,      1000,         0,    6.77,internal_correlated,971c939dac18170cdf64698b401e16a2e15425d04f7beb56abf8ad51fb882d8b,"{""b"":""X"",""d"":3,""noise"":""SI1000"",""p"":0.0002,""q"":17,""r"":12,""style"":""3-CZ""}"
   1450497,      1046,         0,    3.63,internal_correlated,2b84200b57fba375ac2f11a2a25e34cbb669d7de2bc1cdfa53af6a072fb2a18a,"{""b"":""X"",""d"":3,""noise"":""SI1000"",""p"":0.0002,""q"":17,""r"":12,""style"":""3-CZ-wiggle""}"
   3715764,      1005,         0,    12.7,internal_correlated,30a62b64a8729baf6366cb72b88d45cbbfd8edecc2d35d89385d8ea097a9d476,"{""b"":""X"",""d"":3,""noise"":""SI1000"",""p"":0.0002,""q"":17,""r"":12,""style"":""3-CZ_MZZ""}"
   1312492,      1039,         0,    4.49,internal_correlated,f0c31b81e7ee1f956937d628cfb58373f616553bfcce1708c9ba7086b9454671,"{""b"":""X"",""d"":3,""noise"":""SI1000"",""p"":0.0002,""q"":17,""r"":12,""style"":""4-CZ""}"
   1693643,      1041,         0,    6.80,internal_correlated,8dfaecd4eb8c66f87e026660f06f4c8ddc915f759c5dcf356242d209361153c5,"{""b"":""X"",""d"":3,""noise"":""SI1000"",""p"":0.0002,""q"":21,""r"":12,""style"":""3-ISWAP""}"
